state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
AK,31486.0,14454.0,305,0.0,157626.0,157626.0,17804.0,1293,0.0,0.0,0.0,0,0.0,0.0,190723351.0,0.0,2101.0,6158147.0,0.0,56886,0,0.0,0.0,0.0,0.0,7137629.0,482296.0,0.0,0,208217690.0,1731620,0.0,0.0,0.0,0.0,0.0,0,208217690.0,1731628
AL,1038264.0,897681.0,10148,136027.0,6133645.0,6133645.0,404951.0,45976,526982.0,0.0,314574133.0,1931711,0.0,0.0,0.0,299308.0,0.0,62062326.0,51721523.0,499819,0,0.0,0.0,0.0,0.0,0.0,31681269.0,0.0,0,366277736.0,2323788,0.0,0.0,15188638.0,0.0,366277736.0,2323788,0.0,0
AR,601561.0,468918.0,5319,82996.0,2017857.0,2017857.0,188044.0,14926,344.0,52440.0,336310150.0,2480710,0.0,0.0,310558428.0,230518.0,34700.0,37622536.0,32224431.0,324818,0,0.0,78573.0,0.0,6350817.0,0.0,33847806.0,0.0,0,368537584.0,2736436,0.0,512573.0,0.0,34473042.0,0.0,0,368537584.0,2736442
AS,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,444531.0,2140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,444531.0,2140,0.0,0.0,0.0,0.0,0.0,0,444531.0,2140
AZ,1918434.0,1710791.0,16328,159627.0,7425807.0,7425807.0,640831.0,57903,0.0,172806.0,437983006.0,3072983,0.0,0.0,0.0,0.0,112235.0,95464371.0,90126706.0,826452,0,2200.0,0.0,0.0,0.0,12089.0,0.0,0.0,0,919026560.0,7908072,108283181.0,0.0,86926215.0,0.0,529355513.0,3842945,919026560.0,7908105
CA,5733089.0,0.0,54124,0.0,0.0,0.0,2653612.0,0,0.0,668693.0,3457932.0,-462,0.0,0.0,0.0,0.0,0.0,379100459.0,379100459.0,3501341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5833384803.0,49645499,0.0,0.0,0.0,0.0,0.0,0,5833384803.0,49646014
CO,908462.0,748037.0,5989,135029.0,3478740.0,3478740.0,231196.0,23904,0.0,0.0,320063687.0,2199439,53131606.0,0.0,0.0,0.0,0.0,49413695.0,46617474.0,436600,0,5796249.0,0.0,0.0,0.0,0.0,0.0,703408746.0,6415123,703408746.0,6415123,59136195.0,0.0,0.0,0.0,366993898.0,2616541,0.0,0
CT,1584666.0,1172715.0,7704,281155.0,1908439.0,1908439.0,214270.0,0,0.0,0.0,0.0,0,0.0,0.0,736949200.0,0.0,0.0,33618419.0,30195061.0,285330,0,0.0,1317883.0,0.0,0.0,40203629.0,1491836.0,0.0,0,778271990.0,6520363,0.0,21296260.0,0.0,0.0,0.0,0,778271990.0,6520366
DC,207067.0,0.0,1030,0.0,0.0,0.0,58996.0,0,0.0,15628.0,0.0,0,0.0,0.0,0.0,0.0,9650.0,6050063.0,0.0,41419,0,0.0,0.0,0.0,0.0,0.0,3966976.0,154666960.0,1261363,154666960.0,1261357,0.0,0.0,0.0,0.0,68743506.0,441942,0.0,0
DE,228375.0,202801.0,1473,25574.0,0.0,0.0,61269.0,0,0.0,6818.0,87468937.0,545060,0.0,0.0,0.0,0.0,0.0,10219638.0,9334355.0,88354,0,0.0,0.0,0.0,0.0,10990567.0,2034628.0,174588779.0,1431942,174588779.0,1431942,0.0,0.0,0.0,0.0,96955828.0,633424,0.0,0
FL,4471991.0,390457.0,32266,0.0,13445188.0,13445188.0,1149908.0,82237,0.0,0.0,1484856997.0,9339038,119999330.0,129676031.0,2296007461.0,0.0,0.0,246537443.0,199412014.0,1909209,0,15209294.0,0.0,15250296.0,0.0,319264251.0,0.0,2886547335.0,22339182,2886547335.0,22339181,135272353.0,0.0,144974255.0,0.0,1718619332.0,11248247,2627652994.0,19482607
